country ; filename ; phase ; startyear ; endyear ; varname ; varlabel ; newvarname ; newvalue
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32a ; fever/cough: government hospital ; opd ; 7
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32b ; fever/cough: public health center ; govcntr ; 5
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32c ; fever/cough: government dispensary ; govcntr ; 5
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32d ; fever/cough: public mobile clinic ; hcnobeds ; 4
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32e ; fever/cough: public community health worker/fieldworker ; chw ; 3
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32f ; fever/cough: other public sector ; hcnobeds ; 4
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32g ; na - fever/cough: cs public sector ;  ; 
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32h ; na - fever/cough: cs public sector ;  ; 
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32i ; na - fever/cough: cs public sector ;  ; 
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32j ; fever/cough: private hospital ; hcbeds ; 6
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32k ; fever/cough: private pharmacy ; self ; 2
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32l ; fever/cough: private doctor ; hcnobeds ; 4
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32m ; fever/cough: private clinic ; hcbeds ; 6
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32n ; fever/cough: private mobile clinic ; hcnobeds ; 4
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32o ; fever/cough: private community health worker ; chw ; 3
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32p ; fever/cough: other private medical sector ; hcnobeds ; 4
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32q ; na - fever/cough: cs private medical ;  ; 
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32r ; na - fever/cough: cs private medical ;  ; 
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32s ; fever/cough: shop ; self ; 2
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32t ; fever/cough: traditional practitioner ; none ; 1
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32u ; fever/cough: market ; self ; 2
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32v ; fever/cough: itinerant drug seller ; self ; 2
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32w ; na - fever/cough: cs other sector ;  ; 
kenya ; KEKR81FL2020.DTA ; 8 ; 2020 ; 2020 ; h32x ; fever/cough: other ; none ; 1
